stream_id,@timestamp,event.kind,event.category,event.type,event.action,event.outcome,event.module,event.dataset,event.duration,security.severity,rule.id,rule.name,service.name,trace.id,span.id,user.id,user.name,log.level,error.class,error.message,message,extras
1788447109853-0,2026-09-03T14:51:49.850985616Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,cae06617901d4f2d87b551ecb1c63217,d4855eff30814637,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447109139-0,2026-09-03T14:51:49.136605511Z,,api,access,GET /home/fluxo,success,,,46000000,,,,code-with-quarkus-pride,a8a6c639a977428d8cbc49cb2d42220b,d2f5482efa6f46b5,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447109135-0,2026-09-03T14:51:49.131552532Z,,api,access,GET /home/kpis,success,,,43000000,,,,code-with-quarkus-pride,bb2c9326e03b4d519a0c0aeca5d2014f,998f8e54f8084c71,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447094860-0,2026-09-03T14:51:34.858718040Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,db25fbf46e5a47ae88787372d10eed9d,b70f8e060299442f,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447079133-0,2026-09-03T14:51:19.132676639Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,ed7b6d17e6734338b2ea999f4c5fb54f,0d8f0246200249e2,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447079129-0,2026-09-03T14:51:19.128036073Z,,api,access,GET /home/fluxo,success,,,45000000,,,,code-with-quarkus-pride,26427397461b4f0093f0ef83d89d29fe,46e8d056d2c24c96,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447079112-0,2026-09-03T14:51:19.110324724Z,,api,access,GET /home/kpis,success,,,27000000,,,,code-with-quarkus-pride,ab4eca871aa64e1b84fe179db2196916,ed11482f6e69445f,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447053857-0,2026-09-03T14:50:53.855682452Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,59cc06a021d646378034b4c36c2af582,2f5eaf3d0c524ae3,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447031898-0,2026-09-03T14:50:31.897379826Z,,api,access,GET /home/fluxo,success,,,43000000,,,,code-with-quarkus-pride,06ade0389c5e4a8abc6a33e40ec3b32e,2c2f941b96de4d13,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447031881-0,2026-09-03T14:50:31.879373517Z,,api,access,GET /home/kpis,success,,,26000000,,,,code-with-quarkus-pride,05c208e4ff1c428280fa072468b859cb,16fe989a73594550,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447000970-0,2026-09-03T14:50:00.966263292Z,,api,access,GET /home/fluxo,success,,,109000000,,,,code-with-quarkus-pride,6f9cb2797f33492eae81678a79f21786,b4fa3377b06f47db,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447000917-0,2026-09-03T14:50:00.893559793Z,,api,access,GET /home/kpis,success,,,34000000,,,,code-with-quarkus-pride,e6db56a829ab4484acaeaa400dc82992,4b6b6955d4d54fdb,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446993860-0,2026-09-03T14:49:53.858802449Z,,api,access,GET /home/situacao,success,,,4000000,,,,code-with-quarkus-pride,8c41b68b7aad467896852786d1baaf75,54121c292ef44335,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446969894-0,2026-09-03T14:49:29.893025736Z,,api,access,GET /home/fluxo,success,,,40000000,,,,code-with-quarkus-pride,0727482a01a0477a9b9393e2e204b3ee,a48ead30659e486b,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446969865-0,2026-09-03T14:49:29.862596297Z,,api,access,GET /home/kpis,success,,,14000000,,,,code-with-quarkus-pride,86e36bf73fe94851a8bdddbb9026ced8,04f713ba5254464e,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446939865-0,2026-09-03T14:48:59.860827494Z,,api,access,GET /home/situacao,success,,,2000000,,,,code-with-quarkus-pride,ef29b25ebc3a477fb5abf5336ba07dd4,f443726614a54ee1,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446938911-0,2026-09-03T14:48:58.907392227Z,,api,access,GET /home/fluxo,success,,,56000000,,,,code-with-quarkus-pride,64aab35d3be641b0b99292137222af1f,29cfb89575df4ef6,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446938903-0,2026-09-03T14:48:58.893598164Z,,api,access,GET /home/kpis,success,,,41000000,,,,code-with-quarkus-pride,6d8e31980ed641f4a46886df142e1e78,6c2f0398a6334c42,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446924848-0,2026-09-03T14:48:44.844703483Z,,api,access,GET /home/situacao,success,,,2000000,,,,code-with-quarkus-pride,06deecd08ce648e38f5d4dc0ab95b0cc,7c0513f5649144dd,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446908851-0,2026-09-03T14:48:28.847070015Z,,api,access,GET /home/situacao,success,,,2000000,,,,code-with-quarkus-pride,19a72b6157e241be9bdc2f76673ccc48,af74f718ad834c9d,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446907882-0,2026-09-03T14:48:27.879021796Z,,api,access,GET /home/fluxo,success,,,34000000,,,,code-with-quarkus-pride,29e5e710d1ed4ce59ce86424af5877f3,fa1f0f319da748fa,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446907868-0,2026-09-03T14:48:27.867072802Z,,api,access,GET /home/kpis,success,,,19000000,,,,code-with-quarkus-pride,30bc45e45d54481298b5c2aec0daa759,d3967a8867fa4798,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446892855-0,2026-09-03T14:48:12.853076808Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,67a5ece25b96452588b7215b53e11346,a243b34e7dce47e3,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446876916-0,2026-09-03T14:47:56.913320684Z,,api,access,GET /home/fluxo,success,,,24000000,,,,code-with-quarkus-pride,08b8c2d88b624cc789b7d90d7c20cb74,3c6c593de8b34921,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/fluxo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446876902-0,2026-09-03T14:47:56.894673250Z,,api,access,GET /home/situacao,success,,,2000000,,,,code-with-quarkus-pride,206413720ca94c57bebf495df9917160,5c183c821b694d31,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446876868-0,2026-09-03T14:47:56.866502267Z,,api,access,GET /home/kpis,success,,,13000000,,,,code-with-quarkus-pride,dd58b02108b844d3bb217d1d0e070fed,8b7c1e216a1341c7,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/kpis status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446861859-0,2026-09-03T14:47:41.856823794Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,d9302923982f4627a8c0e314084c0918,6fff510ac2dd4646,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446845949-0,2026-09-03T14:47:25.944461124Z,,api,access,GET /modo,success,,,0,,,,code-with-quarkus-pride,ca5c032557f74ef48135aa202f415609,c9a121dd9a2c4683,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446845817-0,2026-09-03T14:47:25.816171408Z,,api,access,GET /manifest.webmanifest,success,,,0,,,,code-with-quarkus-pride,3c3d2241f7224ade893390877e48f8cd,c77b78dab0e3411f,anonymous,anonymous,INFO,,,SPN HTTP access GET /manifest.webmanifest status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446845193-0,2026-09-03T14:47:25.191675581Z,,api,access,GET /,success,,,60000000,,,,code-with-quarkus-pride,63858b6c14e442f1bbc9de2387d22dfe,62e07eeea4eb46dd,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446535799-0,2026-09-03T14:42:15.795895441Z,,api,access,GET /_system/404/status,success,,,10000000,,,,code-with-quarkus-pride,6afae75bf0c74899b76eadf81e2c2771,f8a064d4752f41b2,anonymous,anonymous,INFO,,,SPN HTTP access GET /_system/404/status status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446535442-0,2026-09-03T14:42:15.440728396Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,988053bdb4464f2695ef0c8d2e4f1669,c358e69a95084b2f,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446520446-0,2026-09-03T14:42:00.434970189Z,,api,access,GET /modo,success,,,0,,,,code-with-quarkus-pride,285a4cde638f43a3aab86ddc63bd53f7,c8e3a4d7f5844ad2,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446520303-0,2026-09-03T14:42:00.299665479Z,,api,access,GET /manifest.webmanifest,success,,,0,,,,code-with-quarkus-pride,62b13a60974346aa9bff4edcdbacd488,2acf19c68a6d456e,anonymous,anonymous,INFO,,,SPN HTTP access GET /manifest.webmanifest status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788446519613-0,2026-09-03T14:41:59.610779171Z,,api,access,GET /,success,,,74000000,,,,code-with-quarkus-pride,06d1c3a4cc514801bc05e6f18188fa13,155b5e6ba20f47fd,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788445231524-0,2026-09-03T14:20:31.522047733Z,,api,access,GET /,success,,,79000000,,,,code-with-quarkus-pride,b4a454c6b30d4d0d97a1542070297369,b871eae82a4d451a,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""source.port"":""0"",""network.type"":""publica"",""user_agent.os.name"":""Outro"",""user_agent.name"":""curl""}"
1788445230723-0,2026-09-03T14:20:30.720627078Z,,api,access,GET /modo,success,,,0,,,,code-with-quarkus-pride,84dd8a96deb5447193b4e0c0f054c7b4,4395aee41bb24ba7,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""source.port"":""0"",""network.type"":""publica"",""user_agent.os.name"":""Outro"",""user_agent.name"":""curl""}"
1788445230583-0,2026-09-03T14:20:30.568226856Z,,api,access,GET /,success,,,167000000,,,,code-with-quarkus-pride,8adcfd9200c04786be49654c9a72f28e,86176b19a11a4cd7,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""source.port"":""0"",""network.type"":""publica"",""user_agent.os.name"":""Outro"",""user_agent.name"":""curl""}"
1788445221450-0,2026-09-03T14:20:21.420523307Z,,api,access,GET /manifest.webmanifest,success,,,0,,,,code-with-quarkus-pride,cca39b6bf96f4e12ba24ed8c53c7d9aa,5733e04f787b4a3b,anonymous,anonymous,INFO,,,SPN HTTP access GET /manifest.webmanifest status=200,"{""user_agent.os.name"":""iOS"",""network.type"":""publica"",""client.locale"":""en-US"",""user_agent.name"":""Safari"",""source.port"":""0""}"
1788445221444-0,2026-09-03T14:20:21.416769063Z,,api,access,GET /modo,success,,,0,,,,code-with-quarkus-pride,fd31311f483a49b3a36a19a3661c568a,149428ea8cdb4172,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""iOS"",""network.type"":""publica"",""client.locale"":""en-US"",""user_agent.name"":""Safari"",""source.port"":""0""}"
1788445219372-0,2026-09-03T14:20:19.362553173Z,,api,access,GET /,success,,,840000000,,,,code-with-quarkus-pride,2df80f73aa4c468c87e44500140eea71,15a83e6346bb4319,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""iOS"",""network.type"":""publica"",""client.locale"":""en-US"",""user_agent.name"":""Safari"",""source.port"":""0""}"
1788445209487-0,2026-09-03T14:20:09.484520197Z,,api,access,GET /manifest.webmanifest,success,,,1000000,,,,code-with-quarkus-pride,d7c8b488e8314dc894baa305ba3b85d7,e0101169fe964343,anonymous,anonymous,INFO,,,SPN HTTP access GET /manifest.webmanifest status=200,"{""user_agent.os.name"":""macOS"",""network.type"":""publica"",""client.locale"":""en-US"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788445209382-0,2026-09-03T14:20:09.373894853Z,,api,access,GET /modo,success,,,16000000,,,,code-with-quarkus-pride,fa5ea47b78384934b3e0213470cde93a,81e0897a799347e7,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""macOS"",""network.type"":""publica"",""client.locale"":""en-US"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788445207118-0,2026-09-03T14:20:07.112390703Z,,api,access,GET /,success,,,124000000,,,,code-with-quarkus-pride,dd3e00db55b542bab3e0464c6c0f582a,9c578f4dd14f4664,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""macOS"",""network.type"":""publica"",""client.locale"":""en-US"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788445205381-0,2026-09-03T14:20:05.378036409Z,,api,access,GET /,success,,,139000000,,,,code-with-quarkus-pride,8c7b1f24b04f44c7b645ea0d363f6759,b9c9d24062074deb,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""source.port"":""0"",""network.type"":""publica"",""user_agent.os.name"":""Outro"",""user_agent.name"":""curl""}"
1788445205157-0,2026-09-03T14:20:05.149635107Z,,api,access,GET /,success,,,327000000,,,,code-with-quarkus-pride,bee64cef8a5249f4bf596a39e33ede87,b6babb93a6384942,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""source.port"":""0"",""network.type"":""desconhecida"",""user_agent.os.name"":""Outro"",""user_agent.name"":""curl""}"
1788445204606-0,2026-09-03T14:20:04.599126458Z,,api,access,GET /,success,,,1226000000,,,,code-with-quarkus-pride,67bb2cd7a323418c8a351661a8e001b1,80d98cfc0ff84162,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""source.port"":""0"",""network.type"":""desconhecida"",""user_agent.os.name"":""Outro"",""user_agent.name"":""curl""}"
1788445082230-0,2026-09-03T14:18:02.226932270Z,,api,access,GET /,success,,,75000000,,,,code-with-quarkus-pride,f9b02eb0280a44bfbd6a8bd362b7c48f,3ac2146b1f364302,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""desconhecida""}"
1788444904988-0,2026-09-03T14:15:04.981990706Z,,api,access,GET /,success,,,88000000,,,,code-with-quarkus-pride,0805eb513aac43538991d03530bf4607,a86e4cba4b134f76,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""publica""}"
1788444904706-0,2026-09-03T14:15:04.697767027Z,,api,access,GET /,success,,,166000000,,,,code-with-quarkus-pride,ab282261643b4890abb1d568c79bbb89,b37bbc0ba5c54dbf,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""publica""}"
1788444903802-0,2026-09-03T14:15:03.798290361Z,,api,access,GET /modo,success,,,38000000,,,,code-with-quarkus-pride,fe41fbe40be547aca632bd1a294a38c7,02643da5c8654085,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""publica""}"
1788444903575-0,2026-09-03T14:15:03.564275872Z,,api,access,GET /,success,,,251000000,,,,code-with-quarkus-pride,52f9c8d909c547aeb0c9d182ebf4ff03,3a141a8bbfba402d,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""publica""}"
1788444847323-0,2026-09-03T14:14:07.320407471Z,,api,access,GET /,success,,,57000000,,,,code-with-quarkus-pride,899b7bee742f4cf8b4b30c238b60dbc7,8af372511e7f465e,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""source.port"":""0"",""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Edge""}"
1788444798330-0,2026-09-03T14:13:18.325793502Z,,api,access,GET /,success,,,72000000,,,,code-with-quarkus-pride,d573f61f5be54a51a38a48df42e034c2,6ab3e06288fe44a9,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""publica""}"
1788444798184-0,2026-09-03T14:13:18.179439517Z,,api,access,GET /,success,,,114000000,,,,code-with-quarkus-pride,89ffc36a9fed47919ac1f3630541f13d,8eab55fc43c4473a,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""desconhecida""}"
1788444797825-0,2026-09-03T14:13:17.815457933Z,,api,access,GET /,success,,,446000000,,,,code-with-quarkus-pride,057c9ad5d5624c47978638b0e6ab4b20,ad7c784b7bf642e4,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Outro"",""user_agent.name"":""curl"",""source.port"":""0"",""network.type"":""desconhecida""}"
1788444620690-0,2026-09-03T14:10:20.688036371Z,,api,access,GET /,success,,,107000000,,,,code-with-quarkus-pride,4139e579c19c42e185768ad0e6c559c0,85562b22b146473e,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""source.port"":""0""}"
1788444274318-0,2026-09-03T14:04:34.313936751Z,,api,access,GET /modo,success,,,4000000,,,,code-with-quarkus-pride,142be85c48ad4cd4bfdbb00057b52cca,e30155c2cc234710,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""source.port"":""0""}"
